    Step    Atoms         KinEng            CPU         Volume 
  150001     1005  2.3338009e-06              0          0.011 
  184501     1005  1.5374717e-06  8.4319783e-06          0.011      833.83541 
    Step    Atoms         KinEng            rke         Volume       heattran 
  184501     1005  1.5374717e-06  8.4319783e-06          0.011      840.47342 
  185000     1005  1.5552579e-06  8.5358603e-06          0.011      833.85547 
  185001     1005  1.5552861e-06  8.5360206e-06          0.011      833.84221 
    Step    Atoms         KinEng            rke         Volume       heattran 
  185001     1005  1.5552861e-06  8.5360206e-06          0.011      840.47342 
  185501     1005  1.5653368e-06  8.5915629e-06          0.011      833.84873 
    Step    Atoms         KinEng            rke         Volume       heattran 
  185501     1005  1.5653368e-06  8.5915629e-06          0.011      840.47342 
  186000     1005  1.5660394e-06  8.5967156e-06          0.011       833.8682 
  186001     1005  1.5660303e-06  8.5966747e-06          0.011      833.85497 
    Step    Atoms         KinEng            rke         Volume       heattran 
  186001     1005  1.5660303e-06  8.5966747e-06          0.011      840.47342 
  186501     1005  1.5562822e-06  8.5506317e-06          0.011      833.86093 
    Step    Atoms         KinEng            rke         Volume       heattran 
  186501     1005  1.5562822e-06  8.5506317e-06          0.011      840.47342 
  187000     1005  1.5372625e-06  8.4549633e-06          0.011      833.87984 
  187001     1005  1.5372163e-06   8.454723e-06          0.011      833.86662 
    Step    Atoms         KinEng            rke         Volume       heattran 
  187001     1005  1.5372163e-06   8.454723e-06          0.011      840.47342 
  187501     1005  1.5103347e-06  8.3109155e-06          0.011      833.87206 
    Step    Atoms         KinEng            rke         Volume       heattran 
  187501     1005  1.5103347e-06  8.3109155e-06          0.011      840.47342 
  188000     1005  1.5888124e-06  8.0412076e-06          0.011      833.89042 
  188001     1005  1.5889549e-06  8.0406373e-06          0.011      833.87723 
    Step    Atoms         KinEng            rke         Volume       heattran 
  188001     1005  1.5889549e-06  8.0406373e-06          0.011      840.47342 
  188501     1005  1.5546572e-06  7.7988448e-06          0.011      833.88214 
    Step    Atoms         KinEng            rke         Volume       heattran 
  188501     1005  1.5546572e-06  7.7988448e-06          0.011      840.47342 
  189000     1005   1.423429e-06  7.5725523e-06          0.011      833.89997 
  189001     1005  1.4232292e-06  7.5720154e-06          0.011      833.88679 
    Step    Atoms         KinEng            rke         Volume       heattran 
  189001     1005  1.4232292e-06  7.5720154e-06          0.011      840.47342 
  189501     1005  1.3761955e-06  7.2454498e-06          0.011      833.89121 
    Step    Atoms         KinEng            rke         Volume       heattran 
  189501     1005  1.3761955e-06  7.2454498e-06          0.011      840.47342 
  190000     1005  1.3471673e-06   6.869692e-06          0.011      833.90854 
  190001     1005  1.3470407e-06  6.8689497e-06          0.011      833.89538 
    Step    Atoms         KinEng            rke         Volume       heattran 
  190001     1005  1.3470407e-06  6.8689497e-06          0.011      840.47342 
  190501     1005  1.2526845e-06  6.5012663e-06          0.011      833.89932 
    Step    Atoms         KinEng            rke         Volume       heattran 
  190501     1005  1.2526845e-06  6.5012663e-06          0.011      840.47342 
  191000     1005  1.1568962e-06  6.1056029e-06          0.011      833.91617 
  191001     1005  1.1567409e-06  6.1047583e-06          0.011      833.90303 
    Step    Atoms         KinEng            rke         Volume       heattran 
  191001     1005  1.1567409e-06  6.1047583e-06          0.011      840.47342 
  191501     1005  1.0883446e-06  5.6654112e-06          0.011      833.90652 
    Step    Atoms         KinEng            rke         Volume       heattran 
  191501     1005  1.0883446e-06  5.6654112e-06          0.011      840.47342 
  192000     1005  1.0069489e-06  5.2186615e-06          0.011      833.92293 
  192001     1005  1.0067602e-06  5.2177695e-06          0.011       833.9098 
    Step    Atoms         KinEng            rke         Volume       heattran 
  192001     1005  1.0067602e-06  5.2177695e-06          0.011      840.47342 
  192501     1005  9.0884723e-07  4.7692508e-06          0.011      833.91286 
    Step    Atoms         KinEng            rke         Volume       heattran 
  192501     1005  9.0884723e-07  4.7692508e-06          0.011      840.47342 
  193000     1005  8.1977709e-07  4.3094676e-06          0.011      833.92884 
